District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date,Month
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1270.0,1670.0,1470.0,Rs./Quintal,2024-12-25,2024-12
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1070.0,1470.0,1270.0,Rs./Quintal,2024-12-26,2024-12
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1340.0,2000.0,1670.0,Rs./Quintal,2024-12-27,2024-12
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1200.0,1870.0,1540.0,Rs./Quintal,2024-12-28,2024-12
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,840.0,1000.0,900.0,Rs./Quintal,2024-12-30,2024-12
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1200.0,1470.0,1340.0,Rs./Quintal,2025-01-22,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1270.0,1670.0,1470.0,Rs./Quintal,2025-01-23,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1070.0,1340.0,1200.0,Rs./Quintal,2025-01-24,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1140.0,1540.0,1340.0,Rs./Quintal,2025-01-25,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1070.0,1340.0,1200.0,Rs./Quintal,2025-01-26,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1270.0,1740.0,1540.0,Rs./Quintal,2025-01-27,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1340.0,2000.0,1670.0,Rs./Quintal,2025-01-28,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1140.0,1670.0,1400.0,Rs./Quintal,2025-01-29,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1270.0,1670.0,1470.0,Rs./Quintal,2025-01-30,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1200.0,1740.0,1470.0,Rs./Quintal,2025-01-31,2025-01
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1340.0,2000.0,1670.0,Rs./Quintal,2025-02-01,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1200.0,1740.0,1570.0,Rs./Quintal,2025-02-02,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1270.0,1800.0,1540.0,Rs./Quintal,2025-02-03,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1200.0,1740.0,1470.0,Rs./Quintal,2025-02-04,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1140.0,1670.0,1400.0,Rs./Quintal,2025-02-05,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1200.0,1870.0,1540.0,Rs./Quintal,2025-02-06,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1340.0,2270.0,1670.0,Rs./Quintal,2025-02-07,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1140.0,1670.0,1400.0,Rs./Quintal,2025-02-08,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1270.0,1800.0,1540.0,Rs./Quintal,2025-02-09,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1140.0,1670.0,1400.0,Rs./Quintal,2025-02-10,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1140.0,1670.0,1400.0,Rs./Quintal,2025-02-11,2025-02
Chittor,Punganur APMC,Vegetables,Tomato,Hybrid,FAQ,1070.0,1470.0,1270.0,Rs./Quintal,2025-02-12,2025-02
